track_id	name	artist	album_artist	album	genre	kind	size	total_time	disc_number	disc_count	track_number	track_count	year	date_modified	date_added	bit_rate	sample_rate	play_count	play_date	play_date_utc	skip_count	skip_date	rating	album_rating	album_rating_computed	loved	normalization	sort_album_artist	sort_artist	persistent_id	track_type	matched	location	file_folder_count	library_folder_count	purchased	composer	artwork_count
20136	care of cell 44	the zombies	the zombies	odessey & oracle	Rock & Roll	Matched AAC audio file	8274000	235826	1	1	1	12	1967	2018-06-17T05:16:12Z	2013-02-19T02:22:50Z	256	44100	12	3708812992	2021-07-11T05:49:52Z	3	2018-06-17T04:40:18Z	100	80	""	""	4562	zombies	zombies	194DDDB1CF7A7430	File	""	file:///Volumes/Huggy/Data/iTunes/Music/the%20zombies/odessey%20&%20oracle/01%20care%20of%20cell%2044.m4a	5	1			
20139	Surrender	Cheap Trick	Cheap Trick	Heaven Tonight (Remastered)	Power Pop	Purchased AAC audio file	9300072	253733	1	1	1	13	1978	2022-01-26T02:19:15Z	2011-07-04T14:41:54Z	256	44100	18	3663756799	2020-02-05T19:13:19Z	2	2020-05-09T17:59:15Z	100	100	""	""	4947			3E372C04A8A2A316	File		file:///Volumes/Huggy/Data/iTunes/Music/Cheap%20Trick/Heaven%20Tonight%20(Remastered)/01%20Surrender.m4a	5	1	""		
20142	Mambo Sun	T. Rex	T. Rex	Electric Warrior	Rock	Matched AAC audio file	8520474	221173	1	1	1		1971	2018-06-17T05:16:16Z	2013-04-23T00:11:02Z	256	44100	4	3663762876	2020-02-05T20:54:36Z	4	2019-04-22T03:39:14Z	80	80	""	""	851			78D9B0390744D4C0	File	""	file:///Volumes/Huggy/Data/iTunes/Music/T.%20Rex/Electric%20Warrior/01%20Mambo%20Sun.m4a	5	1		Marc Bolan	1
